transition_min;replication;seed;generated_active_count;cancelled_not_started_count;all_aircraft_land_above_reserve;at_least_one_aircraft_ever_low_fuel;at_least_one_aircraft_ever_emergency_endurance;at_least_one_aircraft_ever_below_reserve;at_least_one_aircraft_landed_below_reserve;minimum_fuel_margin_percent_of_reserve;minimum_fuel_margin_percent_of_normal_load;minimum_remaining_endurance_min;minimum_low_fuel_endurance_margin_min;minimum_emergency_endurance_margin_min;mean_holding_time_min;mean_holding_time_per_active_aircraft_min;holding_delay_rate;max_holding_time_min;total_holding_time_min;total_holding_fuel_consumption_kg;at_least_one_go_around;total_go_around_count;go_around_sortie_count;go_around_sortie_rate;go_around_events_per_active_sortie;diversion_rate;diversion_before_holding_rate;diversion_after_holding_rate;fuel_priority_landings;landed_count;diverted_count;diverted_before_holding_count;diverted_after_holding_count;crashed_count;crashed_from_go_around_transition_count;crashed_from_other_status_count;crashed_after_go_around_count;crashed_without_go_around_count;crashed_from_statuses;not_landed_count;ever_vfr_activity_count;ever_ready_for_approach_count;ever_holding_count;ever_approach_count;active_unresolved_count;final_simulation_time_min
90;19;20260726;22;8;True;False;False;False;False;11,8486;3,2213;32,4361;7,4361;17,4361;6,3333;1,4394;0,2273;10,8333;31,6667;289,4167;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;22;0;0;0;0;0;0;0;0;;0;21;22;5;22;0;122,4167
30;20;20260727;15;15;True;False;False;False;False;69,8747;18,9972;49,2637;24,2637;34,2637;2,9048;2,7111;0,9333;7,7500;40,6667;576,6317;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;15;0;0;0;0;0;0;0;0;;0;15;15;14;15;0;84,7500
45;20;20260727;16;14;False;True;True;True;True;-37,4541;-6,1492;10,7501;-14,2499;-4,2499;5,7847;4,3385;0,7500;17,2500;69,4167;976,1800;True;4;3;0,1875;0,2500;0,0000;0,0000;0,0000;1;16;0;0;0;0;0;0;0;0;;0;16;16;12;16;0;116,5000
60;20;20260727;18;12;False;False;False;True;True;-9,6610;-2,6266;26,1983;1,1983;11,1983;2,7917;1,2407;0,4444;4,7500;22,3333;252,4467;True;1;1;0,0556;0,0556;0,0000;0,0000;0,0000;0;18;0;0;0;0;0;0;0;0;;0;16;18;8;18;0;119,9167
75;20;20260727;20;10;True;False;False;False;False;12,8574;3,4956;32,7287;7,7287;17,7287;4,9762;1,7417;0,3500;12,9167;34,8333;166,6167;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;20;0;0;0;0;0;0;0;0;;0;19;20;7;20;0;113,3333
90;20;20260727;21;9;True;False;False;False;False;12,8574;3,4956;32,7287;7,7287;17,7287;4,1500;0,9881;0,2381;8,5000;20,7500;100,7083;True;1;1;0,0476;0,0476;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;5;21;0;129,1667
30;21;20260728;16;14;True;False;False;False;False;109,9214;29,8849;54,4115;29,4115;39,4115;5,4556;5,1146;0,9375;20,9167;81,8333;971,2250;True;2;2;0,1250;0,1250;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;15;16;15;16;0;102,3333
45;21;20260728;16;14;True;False;False;False;False;45,8076;12,4540;42,2842;17,2842;27,2842;7,3889;5,5417;0,7500;29,5833;88,6667;703,0817;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;12;16;0;105,2500
60;21;20260728;18;12;True;True;False;False;False;11,1743;1,8346;19,1081;-5,8919;4,1081;6,0238;2,3426;0,3889;9,9167;42,1667;701,0617;True;1;1;0,0556;0,0556;0,0000;0,0000;0,0000;1;18;0;0;0;0;0;0;0;0;;0;16;18;7;18;0;103,5000
75;21;20260728;20;10;True;False;False;False;False;23,1161;6,2847;31,0300;6,0300;16,0300;2,4167;0,8458;0,3500;4,8333;16,9167;129,0417;True;1;1;0,0500;0,0500;0,0000;0,0000;0,0000;0;20;0;0;0;0;0;0;0;0;;0;18;20;7;20;0;134,8333
90;21;20260728;21;9;True;False;False;False;False;23,1161;6,2847;34,3732;9,3732;19,3732;3,2000;0,7619;0,2381;6,8333;16,0000;77,8750;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;5;21;0;118,0000
30;22;20260729;16;14;True;False;False;False;False;64,2440;17,4663;47,6308;22,6308;32,6308;4,5000;4,2188;0,9375;19,5833;67,5000;543,5567;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;15;16;0;105,8333
45;22;20260729;16;14;True;False;False;False;False;53,5220;8,7872;26,3866;1,3866;11,3866;5,4833;3,4271;0,6250;12,9167;54,8333;763,6800;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;10;16;0;94,1667
60;22;20260729;18;12;True;False;False;False;False;23,5006;6,3892;35,8152;10,8152;20,8152;4,0370;2,0185;0,5000;12,0000;36,3333;345,7300;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;18;0;0;0;0;0;0;0;0;;0;16;18;9;18;0;103,5000
75;22;20260729;19;11;True;False;False;False;False;22,6887;6,1685;35,5797;10,5797;20,5797;2,2292;0,4693;0,2105;4,1667;8,9167;55,1667;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;19;0;0;0;0;0;0;0;0;;0;19;19;4;19;0;101,2500
90;22;20260729;21;9;True;False;False;False;False;22,6887;6,1685;35,5797;10,5797;20,5797;3,1667;0,7540;0,2381;6,5833;15,8333;118,8333;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;5;21;0;119,1667
30;23;20260730;15;15;True;False;False;False;False;62,7524;17,0608;47,1982;22,1982;32,1982;4,7679;4,4500;0,9333;23,2500;66,7500;760,8317;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;15;0;0;0;0;0;0;0;0;;0;14;15;14;15;0;88,1667
45;23;20260730;16;14;True;False;False;False;False;69,2041;18,8149;48,2856;23,2856;33,2856;5,7045;3,9219;0,6875;19,8333;62,7500;761,4667;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;11;16;0;102,0000
60;23;20260730;19;11;True;False;False;False;False;23,8432;6,4824;35,9145;10,9145;20,9145;4,0000;1,8947;0,4737;10,2500;36,0000;319,1717;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;19;0;0;0;0;0;0;0;0;;0;17;19;9;19;0;103,9167
75;23;20260730;19;11;True;False;False;False;False;28,8314;7,8385;25,9928;0,9928;10,9928;3,3194;1,0482;0,3158;5,8333;19,9167;306,2083;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;19;0;0;0;0;0;0;0;0;;0;19;19;6;19;0;106,5000
90;23;20260730;22;8;True;False;False;False;False;28,8314;7,8385;31,5564;6,5564;16,5564;4,2778;1,1667;0,2727;7,3333;25,6667;277,6000;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;22;0;0;0;0;0;0;0;0;;0;20;22;6;22;0;125,2500
30;24;20260731;16;14;True;False;False;False;False;5,9790;1,6255;30,7339;5,7339;15,7339;4,0833;3,8281;0,9375;9,2500;61,2500;754,8900;True;2;2;0,1250;0,1250;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;15;16;0;131,5000
