weather transition at min;mean generated/active count;mean cancelled/not-started count;P(all generated aircraft land above reserve);P(at least one aircraft ever low fuel);P(at least one aircraft ever emergency endurance);P(at least one aircraft ever below type-specific reserve);P(at least one aircraft landed below reserve);mean minimum fuel margin (% reserve);worst minimum fuel margin (% reserve);mean minimum fuel margin (% normal load);worst minimum fuel margin (% normal load);mean minimum remaining endurance (min);worst minimum remaining endurance (min);mean minimum LOW_FUEL endurance margin (min);worst minimum LOW_FUEL endurance margin (min);mean minimum EMERGENCY endurance margin (min);worst minimum EMERGENCY endurance margin (min);mean holding time among actually delayed aircraft (min);mean holding time per active aircraft (min);mean holding delay rate;max holding time (min);mean total holding time (min);mean total holding fuel consumption (kg);P(at least one go-around);mean total go-around count;mean sorties with at least one go-around;mean go-around sortie rate;mean go-around events per active sortie;mean diversion rate;mean diversion-before-holding rate;mean diversion-after-holding rate;mean number of fuel-priority landings;mean landed count;mean diverted count;mean diverted before holding count;mean diverted after holding count;mean crashed count;mean crashed from go-around transition count;mean crashed from other status count;mean crashed after go-around count;mean crashed without go-around count;mean not landed count;mean ever VFR activity count;mean ever ready-for-approach count;mean ever holding count;mean ever approach count;mean active/unresolved count;mean final simulation time (min)
30;15,2090;14,7910;0,9520;0,0470;0,0190;0,0480;0,0380;76,0536;-92,5962;20,1621;-25,1746;47,4077;2,1471;22,4077;-22,8529;32,4077;-12,8529;4,7552;4,3795;0,9221;46,0833;66,6587;757,5955;0,6560;1,1520;1,0450;0,0688;0,0758;0,0007;0,0000;0,0007;0,0380;15,1980;0,0110;0,0000;0,0110;0,0000;0,0000;0,0000;0,0000;0,0000;0,0110;13,9530;15,2090;14,0230;15,2090;0,0000;96,7016
45;16,0030;13,9970;0,8770;0,1170;0,0400;0,1230;0,1080;43,4994;-90,4938;11,5284;-22,5354;39,0612;1,9963;14,0612;-23,0037;24,0612;-13,0037;4,4499;2,9168;0,6540;42,0833;46,6854;538,4179;0,5740;0,9080;0,8320;0,0520;0,0568;0,0011;0,0000;0,0011;0,1010;15,9850;0,0180;0,0000;0,0180;0,0000;0,0000;0,0000;0,0000;0,0000;0,0180;15,9110;16,0030;10,4670;16,0030;0,0000;98,6102
60;17,9780;12,0220;0,6700;0,1960;0,1170;0,3300;0,2680;7,3041;-100,0000;2,1080;-25,1490;29,5877;0,0000;4,5877;-25,0000;14,5877;-15,0000;4,4226;2,1032;0,4728;32,3333;37,8808;415,9794;0,4600;0,6300;0,5810;0,0323;0,0350;0,0036;0,0000;0,0036;0,1390;17,9120;0,0650;0,0000;0,0650;0,0010;0,0010;0,0000;0,0010;0,0000;0,0660;16,1830;17,9780;8,5170;17,9780;0,0000;108,7914
75;19,8620;10,1380;0,8680;0,1560;0,0760;0,1320;0,0920;17,9695;-97,1796;4,9755;-26,4207;30,1161;0,8179;5,1161;-24,1821;15,1161;-14,1821;3,3503;1,1910;0,3482;26,5000;23,7543;232,5740;0,3160;0,4020;0,3630;0,0183;0,0202;0,0022;0,0000;0,0022;0,1150;19,8190;0,0430;0,0000;0,0430;0,0000;0,0000;0,0000;0,0000;0,0000;0,0430;18,8400;19,8620;6,9310;19,8620;0,0000;114,8388
90;21,5040;8,4960;0,9880;0,0470;0,0100;0,0120;0,0060;24,7395;-100,0000;6,6938;-14,5000;33,6721;0,0000;8,6721;-25,0000;18,6721;-15,0000;4,2372;1,1542;0,2678;23,8333;25,0139;221,1076;0,2820;0,3510;0,3210;0,0148;0,0162;0,0002;0,0000;0,0002;0,0410;21,4980;0,0050;0,0000;0,0050;0,0010;0,0010;0,0000;0,0010;0,0000;0,0060;20,8150;21,5040;5,7770;21,5040;0,0000;127,2840
