transition_min;replication;seed;generated_active_count;cancelled_not_started_count;all_aircraft_land_above_reserve;at_least_one_aircraft_ever_low_fuel;at_least_one_aircraft_ever_emergency_endurance;at_least_one_aircraft_ever_below_reserve;at_least_one_aircraft_landed_below_reserve;minimum_fuel_margin_percent_of_reserve;minimum_fuel_margin_percent_of_normal_load;minimum_remaining_endurance_min;minimum_low_fuel_endurance_margin_min;minimum_emergency_endurance_margin_min;mean_holding_time_min;mean_holding_time_per_active_aircraft_min;holding_delay_rate;max_holding_time_min;total_holding_time_min;total_holding_fuel_consumption_kg;at_least_one_go_around;total_go_around_count;go_around_sortie_count;go_around_sortie_rate;go_around_events_per_active_sortie;diversion_rate;diversion_before_holding_rate;diversion_after_holding_rate;fuel_priority_landings;landed_count;diverted_count;diverted_before_holding_count;diverted_after_holding_count;crashed_count;crashed_from_go_around_transition_count;crashed_from_other_status_count;crashed_after_go_around_count;crashed_without_go_around_count;crashed_from_statuses;not_landed_count;ever_vfr_activity_count;ever_ready_for_approach_count;ever_holding_count;ever_approach_count;active_unresolved_count;final_simulation_time_min
90;33;20260740;21;9;True;False;False;False;False;25,1964;6,8503;36,3070;11,3070;21,3070;9,9722;1,4246;0,1429;24,9167;29,9167;36,9350;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;20;21;3;21;0;128,9167
30;34;20260741;15;15;True;False;False;False;False;17,5269;4,7651;34,0828;9,0828;19,0828;19,0833;17,8111;0,9333;44,0000;267,1667;3067,6467;True;1;1;0,0667;0,0667;0,0000;0,0000;0,0000;0;15;0;0;0;0;0;0;0;0;;0;13;15;14;15;0;98,4167
45;34;20260741;16;14;True;False;False;False;False;37,1972;10,1130;39,7872;14,7872;24,7872;13,4907;7,5885;0,5625;26,5000;121,4167;1796,4333;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;9;16;0;95,0000
60;34;20260741;19;11;False;True;False;True;True;-22,2945;-6,0613;22,5346;-2,4654;7,5346;17,3571;6,3947;0,3684;27,1667;121,5000;1954,0450;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;1;19;0;0;0;0;0;0;0;0;;0;16;19;7;19;0;111,5833
75;34;20260741;20;10;True;True;False;False;False;5,2032;1,4146;20,5149;-4,4851;5,5149;8,7708;3,5083;0,4000;20,8333;70,1667;1367,3333;True;1;1;0,0500;0,0500;0,0000;0,0000;0,0000;1;20;0;0;0;0;0;0;0;0;;0;19;20;8;20;0;149,0000
90;34;20260741;21;9;True;False;False;False;False;14,3882;3,9118;33,1726;8,1726;18,1726;9,8167;2,3373;0,2381;24,9167;49,0833;227,9350;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;5;21;0;131,9167
30;35;20260742;15;15;False;True;True;True;True;-50,0860;-13,6171;14,4751;-10,5249;-0,5249;22,1736;17,7389;0,8000;46,5833;266,0833;3365,2117;True;1;1;0,0667;0,0667;0,0000;0,0000;0,0000;1;15;0;0;0;0;0;0;0;0;;0;15;15;12;15;0;99,5833
45;35;20260742;16;14;False;True;False;True;True;-40,0016;-10,8754;17,3995;-7,6005;2,3995;21,7222;16,2917;0,7500;41,6667;260,6667;3573,1100;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;2;16;0;0;0;0;0;0;0;0;;0;16;16;12;16;0;109,3333
60;35;20260742;18;12;False;True;True;True;False;-48,3567;-13,1470;14,9766;-10,0234;-0,0234;12,5625;5,5833;0,4444;22,4167;100,5000;1453,4150;True;1;1;0,0556;0,0556;0,0556;0,0000;0,0556;1;17;1;0;1;0;0;0;0;0;;1;16;18;8;17;0;128,4167
75;35;20260742;20;10;True;False;False;False;False;18,5564;5,0450;34,3813;9,3813;19,3813;8,5500;2,1375;0,2500;20,1667;42,7500;753,3333;True;1;1;0,0500;0,0500;0,0000;0,0000;0,0000;0;20;0;0;0;0;0;0;0;0;;0;19;20;5;20;0;147,0000
90;35;20260742;21;9;True;False;False;False;False;18,5564;5,0450;28,8275;3,8275;13,8275;12,6250;3,6071;0,2857;27,2500;75,7500;834,2550;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;6;21;0;134,7500
30;36;20260743;14;16;True;False;False;False;False;5,0530;1,3738;30,4654;5,4654;15,4654;21,5903;18,5060;0,8571;38,0000;259,0833;3359,2000;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;14;0;0;0;0;0;0;0;0;;0;12;14;12;14;0;93,3333
45;36;20260743;16;14;False;True;False;True;True;-18,4766;-5,0233;23,6418;-1,3582;8,6418;19,9091;13,6875;0,6875;35,6667;219,0000;3092,9450;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;1;16;0;0;0;0;0;0;0;0;;0;16;16;11;16;0;104,2500
60;36;20260743;17;13;True;False;False;False;False;18,0618;4,9105;30,1251;5,1251;15,1251;17,6354;8,2990;0,4706;28,0000;141,0833;2070,7767;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;17;0;0;0;0;0;0;0;0;;0;16;17;8;17;0;112,7500
